
1000 0.002859
2000 0.003452
3000 0.007514
4000 0.013465
5000 0.020175
6000 0.029558
7000 0.039514
8000 0.051306
9000 0.065847
10000 0.079912
11000 0.098017
12000 0.115706
13000 0.136202
14000 0.158119
15000 0.181173
16000 0.205654
17000 0.231057
18000 0.262041
19000 0.29224
20000 0.322848
21000 0.357905
22000 0.389459
23000 0.426719
24000 0.464225
25000 0.49827
26000 0.545143
27000 0.584223
28000 0.632708
29000 0.682245
30000 0.718393
31000 0.767888
32000 0.822539
33000 0.875339
34000 0.923252
35000 0.990398
