
10 9e-06
20 4.9e-05
30 9.4e-05
40 0.000266
50 0.000392
60 0.000724
70 0.001055
80 0.001555
90 0.001973
100 0.002894
110 0.003882
120 0.00476
130 0.003574
140 0.003336
150 0.00408
160 0.0041
170 0.0049
180 0.005235
190 0.005024
200 0.005186
210 0.00573
220 0.006576
230 0.007557
240 0.008575
250 0.0096
260 0.010913
270 0.01209
280 0.013572
290 0.015026
300 0.016648
310 0.018233
320 0.020032
330 0.021991
340 0.024034
350 0.026177
360 0.02841
370 0.031353
380 0.033464
390 0.036136
400 0.039376
410 0.041969
420 0.044931
430 0.049025
440 0.051749
450 0.055654
460 0.058845
470 0.063387
480 0.066687
490 0.071671
500 0.075696
510 0.080104
520 0.084672
530 0.089786
540 0.094683
550 0.100295
560 0.105798
570 0.111452
580 0.118016
590 0.123491
600 0.130206
610 0.136766
620 0.142943
630 0.150287
640 0.157427
650 0.165185
