
1000 0.001468
2000 0.001234
3000 0.002805
4000 0.004835
5000 0.007175
6000 0.010406
7000 0.014278
8000 0.018156
9000 0.02297
10000 0.02863
11000 0.034099
12000 0.040348
13000 0.047754
14000 0.054718
15000 0.063511
16000 0.071786
17000 0.081247
18000 0.090631
19000 0.101741
20000 0.112028
21000 0.123592
22000 0.136251
23000 0.148153
24000 0.161225
25000 0.176252
26000 0.191246
27000 0.204515
28000 0.220121
29000 0.235718
30000 0.24905
31000 0.265419
32000 0.283763
33000 0.300478
34000 0.323474
35000 0.340672
