
10000 0.000637106
20000  0.001531
30000  0.002099
40000  0.003008
50000  0.004226
60000  0.004682
70000  0.00569
80000  0.006619
90000  0.00762
100000  0.008852
110000  0.00884
120000  0.009719
130000  0.010721
140000  0.012186
150000  0.013036
160000  0.013917
170000  0.015267
180000  0.016193
190000  0.01727
200000  0.018839
210000  0.018046
220000  0.018812
230000  0.019706
240000  0.020829
250000  0.022172
260000  0.022999
270000  0.024122
280000  0.025215
290000  0.027221
300000  0.027433
310000  0.028532
320000  0.029461
330000  0.031401
340000  0.032089
350000  0.03315
360000  0.034853
370000  0.03557
380000  0.036718
390000  0.038544
400000  0.039508
410000  0.036706
420000  0.038121
430000  0.038892
440000  0.040067
450000  0.041299
460000  0.04195
470000  0.043191
480000  0.044628
490000  0.045229
500000  0.046061
510000  0.047819
520000  0.048788
530000  0.049985
540000  0.051237
550000  0.052442
560000  0.053691
570000  0.054467
580000  0.05598
590000  0.056858
600000  0.058479
610000  0.059355
620000  0.061062
630000  0.061639
640000  0.063383
650000  0.063919
660000  0.065605
670000  0.066594
680000  0.06809
690000  0.068952
700000  0.070659
